Time,Agent1_x,Agent1_y,Agent2_x,Agent2_y,Agent3_x,Agent3_y,Agent4_x,Agent4_y,Agent5_x,Agent5_y,Agent6_x,Agent6_y,Agent7_x,Agent7_y,Agent8_x,Agent8_y
9.8,0.134042929427999,-15.584504563396,13.8537146821284,-4.25358838373861,7.05541186826189,12.0820426676075,-10.0819270145484,10.8835910655242,-14.5607755937437,-5.92064403497925,0.473431824540846,-4.08934284007832,2.17546239250556,2.2484899282915,-3.49636187874584,-0.376033539021106
9.85,0.537878439765861,-15.5069819507151,13.9943319471058,-3.84317507524222,6.82014868109941,12.3413974813934,-10.3243182778569,10.6889117377164,-14.3676226868819,-6.22215321540734,0.465440306325863,-4.05530555118984,2.2671273288063,2.25647465993056,-3.35354117935077,-0.266335430720626
9.9,0.943836723150767,-15.4199998127101,14.1257771981662,-3.43492143009413,6.58036428822084,12.5879310958843,-10.5600025796249,10.4870631698205,-14.1657243348915,-6.52157852657724,0.457213710564046,-4.02039560418672,2.35828447085126,2.26403008037878,-3.21354561686014,-0.142861159714518
9.95,1.3517855161367,-15.32357922176,14.2479921820963,-3.02940414748313,6.33527130679865,12.8221170782035,-10.7888262831181,10.2782029123818,-13.9551741501237,-6.81841633890776,0.44876517692114,-3.98460963028387,2.44893523255947,2.27112469123599,-3.07901267919236,-0.00603181836015973
10,1.76150177505865,-15.2177477386685,14.3609240731312,-2.62698174092977,6.08424934991254,13.0444477708719,-11.0106480740509,10.0624928184653,-13.7360715651103,-7.11217546784024,0.440107897946234,-3.9479444581308,2.53907596719427,2.27772907244856,-2.95238418369697,0.143085596129511
10.05,2.17268523051326,-15.1025393420283,14.464525750708,-2.22783257014641,5.82684098402027,13.2554171402314,-11.2253370189263,9.84009895381109,-13.5100985105032,-7.40167110280637,0.431255115021158,-3.91039711339984,2.62869860729114,2.28381656997525,-2.83577015360506,0.302885321077852
10.1,2.5849718808591,-14.9779943481885,14.5587560393445,-1.83118123510688,5.56274426791708,13.4555062950598,-11.4327707712749,9.61119150435778,-13.2817707391058,-7.68485612296264,0.422220114411444,-3.87196481852192,2.71779132309799,2.28936381427776,-2.7308495790994,0.471356052572668
10.15,2.99794710004383,-14.8441593241521,14.6435799103779,-1.4359486593516,5.29180256902019,13.6451716380635,-11.6328339506429,9.37594468090795,-13.0568285776471,-7.96012377066815,0.413016223427078,-3.83264499256434,2.80633918033637,2.29435108199003,-2.63880985074212,0.646223779077061
10.2,3.41115809338358,-14.7010869954738,14.718968646202,-1.04119352568163,5.01399231647796,13.8248355526215,-11.8254167110651,9.13453662076317,-12.8418476307554,-8.22727272339487,0.403656806697178,-3.79243525124143,2.89432478098707,2.29876251518672,-2.56032216282808,0.825091120829978
10.25,3.82412549114665,-14.5488361509531,14.7848999683899,-0.646120993286177,4.72940930323142,13.9948794783304,-12.0104135084296,8.88714928620367,-12.6432468707016,-8.48922565152036,0.394155262559112,-3.75133340704574,2.98172887367129,2.30258621406809,-2.4955476944174,1.00556393953987
